1 января 1925 года, процент освещенности луны 44%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
28 июня 1925 года, процент освещенности луны 40%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева и Весы
29 июня 1925 года, процент освещенности луны 50%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы
30 июня 1925 года, процент освещенности луны 60%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
1 июля 1925 года, процент освещенности луны 70%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы и Скорпион
2 июля 1925 года, процент освещенности луны 80%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион
3 июля 1925 года, процент освещенности луны 88%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
4 июля 1925 года, процент освещенности луны 95%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец
5 июля 1925 года, процент освещенности луны 99%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец и Козерог
6 июля 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 6:52, Луна находится в знаке зодиака Козерог
7 июля 1925 года, процент освещенности луны 98%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог и Водолей
8 июля 1925 года, процент освещенности луны 93%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей
9 июля 1925 года, процент освещенности луны 86%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей и Рыбы
10 июля 1925 года, процент освещенности луны 77%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы
11 июля 1925 года, процент освещенности луны 66%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы и Овен
12 июля 1925 года, процент освещенности луны 56%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен
13 июля 1925 года, процент освещенности луны 45%, по лунному календарю идет 21, 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен и Телец
14 июля 1925 года, процент освещенности луны 35%, по лунному календарю идет 22, 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец
15 июля 1925 года, процент освещенности луны 26%, по лунному календарю идет 23, 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец
16 июля 1925 года, процент освещенности луны 18%, по лунному календарю идет 24, 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец и Близнецы
17 июля 1925 года, процент освещенности луны 11%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы
18 июля 1925 года, процент освещенности луны 6%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы и Рак
19 июля 1925 года, процент освещенности луны 2%, , по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак
20 июля 1925 года, процент освещенности луны 0%, по лунному календарю идет 28, 29, 1 лунный день, Новолуние в 23:39, Луна находится в знаке зодиака Рак
21 июля 1925 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
22 июля 1925 года, процент освещенности луны 2%, , по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
23 июля 1925 года, процент освещенности луны 6%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев и Дева
24 июля 1925 года, процент освещенности луны 11%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева
25 июля 1925 года, процент освещенности луны 17%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева
26 июля 1925 года, процент освещенности луны 26%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева и Весы
27 июля 1925 года, процент освещенности луны 35%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы
28 июля 1925 года, процент освещенности луны 45%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы и Скорпион
29 июля 1925 года, процент освещенности луны 56%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион
30 июля 1925 года, процент освещенности луны 67%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
31 июля 1925 года, процент освещенности луны 77%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец
1 августа 1925 года, процент освещенности луны 86%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец и Козерог
2 августа 1925 года, процент освещенности луны 93%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог
3 августа 1925 года, процент освещенности луны 98%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог и Водолей
4 августа 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 13:58, Луна находится в знаке зодиака Водолей
5 августа 1925 года, процент освещенности луны 99%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей и Рыбы
6 августа 1925 года, процент освещенности луны 95%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы
7 августа 1925 года, процент освещенности луны 88%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы и Овен
8 августа 1925 года, процент освещенности луны 80%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен
9 августа 1925 года, процент освещенности луны 70%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен
10 августа 1925 года, процент освещенности луны 60%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен и Телец
11 августа 1925 года, процент освещенности луны 50%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец
12 августа 1925 года, процент освещенности луны 40%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец и Близнецы
13 августа 1925 года, процент освещенности луны 31%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы
14 августа 1925 года, процент освещенности луны 22%, по лунному календарю идет 24, 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы и Рак
15 августа 1925 года, процент освещенности луны 15%, по лунному календарю идет 25, 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак
16 августа 1925 года, процент освещенности луны 9%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак
17 августа 1925 года, процент освещенности луны 4%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак и Лев
18 августа 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев
19 августа 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 15:13, Луна находится в знаке зодиака Лев
20 августа 1925 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев и Дева
21 августа 1925 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева
22 августа 1925 года, процент освещенности луны 8%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева и Весы
23 августа 1925 года, процент освещенности луны 14%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы
24 августа 1925 года, процент освещенности луны 22%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы и Скорпион
25 августа 1925 года, процент освещенности луны 31%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион
26 августа 1925 года, процент освещенности луны 41%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион
27 августа 1925 года, процент освещенности луны 52%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
28 августа 1925 года, процент освещенности луны 63%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец
29 августа 1925 года, процент освещенности луны 74%, 7по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Стрелец и Козерог
30 августа 1925 года, процент освещенности луны 84%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог
31 августа 1925 года, процент освещенности луны 91%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог и Водолей
1 сентября 1925 года, процент освещенности луны 97%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Водолей
2 сентября 1925 года, процент освещенности луны 100%, по лунному календарю идет 14, 15 лунный день, Полнолуние в 21:52, Луна находится в знаке зодиака Водолей и Рыбы
3 сентября 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы
4 сентября 1925 года, процент освещенности луны 97%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы и Овен
5 сентября 1925 года, процент освещенности луны 91%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен
6 сентября 1925 года, процент освещенности луны 84%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен и Телец
7 сентября 1925 года, процент освещенности луны 75%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец
8 сентября 1925 года, процент освещенности луны 66%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец и Близнецы
9 сентября 1925 года, процент освещенности луны 56%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы
10 сентября 1925 года, процент освещенности луны 47%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы
11 сентября 1925 года, процент освещенности луны 37%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы и Рак
12 сентября 1925 года, процент освещенности луны 28%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак
13 сентября 1925 года, процент освещенности луны 20%, по лунному календарю идет 24, 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак и Лев
14 сентября 1925 года, процент освещенности луны 13%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев
15 сентября 1925 года, процент освещенности луны 7%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев
16 сентября 1925 года, процент освещенности луны 3%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев и Дева
17 сентября 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева
18 сентября 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 1, 2 лунный день, Новолуние в 6:11, Луна находится в знаке зодиака Дева и Весы
19 сентября 1925 года, процент освещенности луны 2%, , по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы
20 сентября 1925 года, процент освещенности луны 5%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы
21 сентября 1925 года, процент освещенности луны 11%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы и Скорпион
22 сентября 1925 года, процент освещенности луны 18%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион
23 сентября 1925 года, процент освещенности луны 27%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
24 сентября 1925 года, процент освещенности луны 38%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец
25 сентября 1925 года, процент освещенности луны 49%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец и Козерог
26 сентября 1925 года, процент освещенности луны 60%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог
27 сентября 1925 года, процент освещенности луны 71%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Козерог и Водолей
28 сентября 1925 года, процент освещенности луны 81%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Водолей
29 сентября 1925 года, процент освещенности луны 89%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Водолей и Рыбы
30 сентября 1925 года, процент освещенности луны 95%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы
1 октября 1925 года, процент освещенности луны 99%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы и Овен
2 октября 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 7:22, Луна находится в знаке зодиака Овен
3 октября 1925 года, процент освещенности луны 98%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Овен и Телец
4 октября 1925 года, процент освещенности луны 94%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец
5 октября 1925 года, процент освещенности луны 88%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец
6 октября 1925 года, процент освещенности луны 81%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец и Близнецы
7 октября 1925 года, процент освещенности луны 72%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы
8 октября 1925 года, процент освещенности луны 63%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы и Рак
9 октября 1925 года, процент освещенности луны 54%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак
10 октября 1925 года, процент освещенности луны 44%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак
11 октября 1925 года, процент освещенности луны 35%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рак и Лев
12 октября 1925 года, процент освещенности луны 26%, по лунному календарю идет 24, 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев
13 октября 1925 года, процент освещенности луны 18%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев и Дева
14 октября 1925 года, процент освещенности луны 12%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева
15 октября 1925 года, процент освещенности луны 6%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева
16 октября 1925 года, процент освещенности луны 2%, , по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева и Весы
17 октября 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 20:05, Луна находится в знаке зодиака Весы
18 октября 1925 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Весы и Скорпион
19 октября 1925 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион
20 октября 1925 года, процент освещенности луны 8%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
21 октября 1925 года, процент освещенности луны 15%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец
22 октября 1925 года, процент освещенности луны 24%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец и Козерог
23 октября 1925 года, процент освещенности луны 34%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог
24 октября 1925 года, процент освещенности луны 46%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог и Водолей
25 октября 1925 года, процент освещенности луны 57%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Водолей
26 октября 1925 года, процент освещенности луны 68%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Водолей и Рыбы
27 октября 1925 года, процент освещенности луны 78%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы
28 октября 1925 года, процент освещенности луны 87%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы
29 октября 1925 года, процент освещенности луны 93%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы и Овен
30 октября 1925 года, процент освещенности луны 98%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен
31 октября 1925 года, процент освещенности луны 100%, по лунному календарю идет 14, 15 лунный день, Полнолуние в 19:15, Луна находится в знаке зодиака Овен и Телец
1 ноября 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец
2 ноября 1925 года, процент освещенности луны 97%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Телец и Близнецы
3 ноября 1925 года, процент освещенности луны 93%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы
4 ноября 1925 года, процент освещенности луны 86%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы и Рак
5 ноября 1925 года, процент освещенности луны 79%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак
6 ноября 1925 года, процент освещенности луны 71%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак
7 ноября 1925 года, процент освещенности луны 62%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак и Лев
8 ноября 1925 года, процент освещенности луны 53%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев
9 ноября 1925 года, процент освещенности луны 43%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Лев и Дева
10 ноября 1925 года, процент освещенности луны 34%, по лунному календарю идет 23, 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева
11 ноября 1925 года, процент освещенности луны 25%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева
12 ноября 1925 года, процент освещенности луны 17%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева и Весы
13 ноября 1925 года, процент освещенности луны 10%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Весы
14 ноября 1925 года, процент освещенности луны 5%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Весы и Скорпион
15 ноября 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Скорпион
16 ноября 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 1, 2 лунный день, Новолуние в 8:57, Луна находится в знаке зодиака Скорпион и Стрелец
17 ноября 1925 года, процент освещенности луны 1%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец
18 ноября 1925 года, процент освещенности луны 6%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец и Козерог
19 ноября 1925 года, процент освещенности луны 12%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог
20 ноября 1925 года, процент освещенности луны 21%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог
21 ноября 1925 года, процент освещенности луны 31%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог и Водолей
22 ноября 1925 года, процент освещенности луны 42%, 4, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей
23 ноября 1925 года, процент освещенности луны 53%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей и Рыбы
24 ноября 1925 года, процент освещенности луны 65%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы
25 ноября 1925 года, процент освещенности луны 75%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рыбы и Овен
26 ноября 1925 года, процент освещенности луны 84%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен
27 ноября 1925 года, процент освещенности луны 91%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен и Телец
28 ноября 1925 года, процент освещенности луны 96%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
29 ноября 1925 года, процент освещенности луны 99%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец и Близнецы
30 ноября 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 10:10, Луна находится в знаке зодиака Близнецы
1 декабря 1925 года, процент освещенности луны 99%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы
2 декабря 1925 года, процент освещенности луны 96%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Близнецы и Рак
3 декабря 1925 года, процент освещенности луны 91%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак
4 декабря 1925 года, процент освещенности луны 85%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак и Лев
5 декабря 1925 года, процент освещенности луны 78%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев
6 декабря 1925 года, процент освещенности луны 70%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев
7 декабря 1925 года, процент освещенности луны 61%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев и Дева
8 декабря 1925 года, процент освещенности луны 51%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
9 декабря 1925 года, процент освещенности луны 42%, 4, по лунному календарю идет 23, 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Дева и Весы
10 декабря 1925 года, процент освещенности луны 32%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Весы
11 декабря 1925 года, процент освещенности луны 23%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Весы
12 декабря 1925 года, процент освещенности луны 15%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Весы и Скорпион
13 декабря 1925 года, процент освещенности луны 8%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Скорпион
14 декабря 1925 года, процент освещенности луны 3%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
15 декабря 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 21:04, Луна находится в знаке зодиака Стрелец
16 декабря 1925 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Стрелец и Козерог
17 декабря 1925 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог
18 декабря 1925 года, процент освещенности луны 9%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог и Водолей
19 декабря 1925 года, процент освещенности луны 17%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей
20 декабря 1925 года, процент освещенности луны 27%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей и Рыбы
